id,Response,key,percent_match,Scored,Condition.Number,Condition.Description,Stimuli.Cue,Stimuli.Shuffle,Stimuli.Stimuli.Notes,Procedure.Shuffle,Procedure.Shuffle.1,Response.RT,Platform
10143815SK,love,love,1,1,1,Read,affection,Study1,F,Study Phase,Recall1,1865,USM
BrettThompson,love,love,1,1,1,Read Recall,affection,Study1,F,Study Phase,Recall1,1949,USM
BrookeMask,love,love,1,1,1,Read Recall,affection,Study1,F,Study Phase,Recall1,832,USM
jasminesherman,,love,0,0,1,Read Recall,affection,Study1,F,Study Phase,Recall1,804,USM
NicolasMunoz,,love,0,0,1,Read Recall,affection,Study1,F,Study Phase,Recall1,1397,USM
TaravionCosey,love,love,1,1,1,Read Recall,affection,Study1,F,Study Phase,Recall1,19733,USM
w10046339_pw,like,love,0.5,0,1,Read,affection,Study1,F,Study Phase,Recall1,1172,USM
W10057641NS,,love,0,0,1,Read,affection,Study1,F,Study Phase,Recall1,196,USM
w10062326CT,love,love,1,1,1,Read,affection,Study1,F,Study Phase,Recall1,1230,USM
w10080028_sac,love,love,1,1,1,Read,affection,Study1,F,Study Phase,Recall1,1551,USM
w10085225L.S,love,love,1,1,1,Read,affection,Study1,F,Study Phase,Recall1,754,USM
w10101381_mgk,?,love,0,0,1,Read,affection,Study1,F,Study Phase,Recall1,1509,USM
w10118390Eh,love,love,1,1,1,Read,affection,Study1,F,Study Phase,Recall1,602,USM
w10128215_bnc,,love,0,0,1,Read,affection,Study1,F,Study Phase,Recall1,1368,USM
w10133134_lpc,love,love,1,1,1,Read,affection,Study1,F,Study Phase,Recall1,1192,USM
w10143398_abc,love,love,1,1,1,Read,affection,Study1,F,Study Phase,Recall1,2750,USM
w10157282_HBR,love,love,1,1,1,Read,affection,Study1,F,Study Phase,Recall1,1165,USM
10143815SK,,bounce,0,0,1,Read,bat,Study1,M,Study Phase,Recall1,1415,USM
BrettThompson,bounce,bounce,1,1,1,Read Recall,bat,Study1,M,Study Phase,Recall1,2841,USM
BrookeMask,baseball,bounce,0.25,0,1,Read Recall,bat,Study1,M,Study Phase,Recall1,428,USM
jasminesherman,cave,bounce,0.333333333,0,1,Read Recall,bat,Study1,M,Study Phase,Recall1,695,USM
NicolasMunoz,,bounce,0,0,1,Read Recall,bat,Study1,M,Study Phase,Recall1,1036,USM
TaravionCosey,bounce ,bounce,0.857142857,1,1,Read Recall,bat,Study1,M,Study Phase,Recall1,9467,USM
w10046339_pw,bounce,bounce,1,1,1,Read,bat,Study1,M,Study Phase,Recall1,1425,USM
W10057641NS,,bounce,0,0,1,Read,bat,Study1,M,Study Phase,Recall1,88,USM
w10062326CT,bounce,bounce,1,1,1,Read,bat,Study1,M,Study Phase,Recall1,1292,USM
w10080028_sac,,bounce,0,0,1,Read,bat,Study1,M,Study Phase,Recall1,1347,USM
w10085225L.S,call,bounce,0.166666667,0,1,Read,bat,Study1,M,Study Phase,Recall1,439,USM
w10101381_mgk,bounce,bounce,1,1,1,Read,bat,Study1,M,Study Phase,Recall1,2114,USM
w10118390Eh,man,bounce,0.166666667,0,1,Read,bat,Study1,M,Study Phase,Recall1,508,USM
