id,Response,key,percent_match,Scored,Condition.Number,Condition.Description,Stimuli.Cue,Stimuli.Shuffle,Stimuli.Stimuli.Notes,Procedure.Shuffle,Procedure.Shuffle.1,Response.RT,Platform
55b2d3f2fdf99b525bc839aa,love,love,1,1,1,Read,affection,Study1,F,Study Phase,Recall1,1537,Prolific
5a8b1ee2000dab00018cc7cd,love,love,1,1,1,Read,affection,Study1,F,Study Phase,Recall1,4328,Prolific
5d4225e01985380018375d83,kiss,love,0,0,1,Read,affection,Study1,F,Study Phase,Recall1,1619,Prolific
602454a47d0d7d121a1e444b,love,love,1,1,1,Read,affection,Study1,F,Study Phase,Recall1,7241,Prolific
6107d8ee8bd9a035d04f6d98,,love,0,0,1,Read,affection,Study1,F,Study Phase,Recall1,949,Prolific
6172607a932e0b0c3523854d,love,love,1,1,1,Read,affection,Study1,F,Study Phase,Recall1,2896,Prolific
628e0063fa56e316da2a71cb,love,love,1,1,1,Read,affection,Study1,F,Study Phase,Recall1,7479,Prolific
631512727c23394ca21acbfb,,love,0,0,1,Read,affection,Study1,F,Study Phase,Recall1,834,Prolific
63d7d95057d77b4c34b3afe8,love,love,1,1,1,Read,affection,Study1,F,Study Phase,Recall1,2958,Prolific
55b2d3f2fdf99b525bc839aa,bounce,bounce,1,1,1,Read,bat,Study1,M,Study Phase,Recall1,11665,Prolific
5a8b1ee2000dab00018cc7cd,bounce,bounce,1,1,1,Read,bat,Study1,M,Study Phase,Recall1,4157,Prolific
5d4225e01985380018375d83,ball,bounce,0.166666667,0,1,Read,bat,Study1,M,Study Phase,Recall1,1456,Prolific
602454a47d0d7d121a1e444b,cat,bounce,0.166666667,0,1,Read,bat,Study1,M,Study Phase,Recall1,5756,Prolific
6107d8ee8bd9a035d04f6d98,,bounce,0,0,1,Read,bat,Study1,M,Study Phase,Recall1,2278,Prolific
6172607a932e0b0c3523854d,black,bounce,0.333333333,0,1,Read,bat,Study1,M,Study Phase,Recall1,2883,Prolific
628e0063fa56e316da2a71cb,ball,bounce,0.166666667,0,1,Read,bat,Study1,M,Study Phase,Recall1,3378,Prolific
631512727c23394ca21acbfb,,bounce,0,0,1,Read,bat,Study1,M,Study Phase,Recall1,1304,Prolific
63d7d95057d77b4c34b3afe8,bounce,bounce,1,1,1,Read,bat,Study1,M,Study Phase,Recall1,4342,Prolific
55b2d3f2fdf99b525bc839aa,sand,box,0,0,1,Read,beach,Study1,M,Study Phase,Recall1,4313,Prolific
5a8b1ee2000dab00018cc7cd,box,box,1,1,1,Read,beach,Study1,M,Study Phase,Recall1,3271,Prolific
5d4225e01985380018375d83,water,box,0,0,1,Read,beach,Study1,M,Study Phase,Recall1,2348,Prolific
602454a47d0d7d121a1e444b,blast,box,0.2,0,1,Read,beach,Study1,M,Study Phase,Recall1,4608,Prolific
6107d8ee8bd9a035d04f6d98,,box,0,0,1,Read,beach,Study1,M,Study Phase,Recall1,1025,Prolific
6172607a932e0b0c3523854d,lake,box,0,0,1,Read,beach,Study1,M,Study Phase,Recall1,3807,Prolific
628e0063fa56e316da2a71cb,bat,box,0.333333333,0,1,Read,beach,Study1,M,Study Phase,Recall1,34821,Prolific
631512727c23394ca21acbfb,,box,0,0,1,Read,beach,Study1,M,Study Phase,Recall1,1072,Prolific
63d7d95057d77b4c34b3afe8,box,box,1,1,1,Read,beach,Study1,M,Study Phase,Recall1,2008,Prolific
55b2d3f2fdf99b525bc839aa,day,pie,0,0,1,Read,birthday,Study1,M,Study Phase,Recall1,2020,Prolific
5a8b1ee2000dab00018cc7cd,pie,pie,1,1,1,Read,birthday,Study1,M,Study Phase,Recall1,3613,Prolific
5d4225e01985380018375d83,candle,pie,0.166666667,0,1,Read,birthday,Study1,M,Study Phase,Recall1,22595,Prolific
602454a47d0d7d121a1e444b,pie,pie,1,1,1,Read,birthday,Study1,M,Study Phase,Recall1,14010,Prolific
6107d8ee8bd9a035d04f6d98,,pie,0,0,1,Read,birthday,Study1,M,Study Phase,Recall1,26093,Prolific
6172607a932e0b0c3523854d,pie,pie,1,1,1,Read,birthday,Study1,M,Study Phase,Recall1,2975,Prolific
628e0063fa56e316da2a71cb,pie,pie,1,1,1,Read,birthday,Study1,M,Study Phase,Recall1,3607,Prolific
631512727c23394ca21acbfb,pie,pie,1,1,1,Read,birthday,Study1,M,Study Phase,Recall1,1892,Prolific
63d7d95057d77b4c34b3afe8,pie,pie,1,1,1,Read,birthday,Study1,M,Study Phase,Recall1,1937,Prolific
55b2d3f2fdf99b525bc839aa,bread,hand,0.4,0,1,Read,cake,Study1,U,Study Phase,Recall1,2978,Prolific
5a8b1ee2000dab00018cc7cd,hand,hand,1,1,1,Read,cake,Study1,U,Study Phase,Recall1,3985,Prolific
5d4225e01985380018375d83,bake,hand,0.25,0,1,Read,cake,Study1,U,Study Phase,Recall1,7435,Prolific
602454a47d0d7d121a1e444b,hand,hand,1,1,1,Read,cake,Study1,U,Study Phase,Recall1,4752,Prolific
6107d8ee8bd9a035d04f6d98,,hand,0,0,1,Read,cake,Study1,U,Study Phase,Recall1,865,Prolific
6172607a932e0b0c3523854d,pie,hand,0,0,1,Read,cake,Study1,U,Study Phase,Recall1,6907,Prolific
628e0063fa56e316da2a71cb,,hand,0,0,1,Read,cake,Study1,U,Study Phase,Recall1,6655,Prolific
631512727c23394ca21acbfb,,hand,0,0,1,Read,cake,Study1,U,Study Phase,Recall1,954,Prolific
63d7d95057d77b4c34b3afe8,eat,hand,0.25,0,1,Read,cake,Study1,U,Study Phase,Recall1,5465,Prolific
55b2d3f2fdf99b525bc839aa,maze,carpet,0.333333333,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,47294,Prolific
5a8b1ee2000dab00018cc7cd,carpet,carpet,1,1,1,Read,ceiling,Study1,M,Study Phase,Recall1,4545,Prolific
5d4225e01985380018375d83,high,carpet,0,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,2126,Prolific
602454a47d0d7d121a1e444b,carpet,carpet,1,1,1,Read,ceiling,Study1,M,Study Phase,Recall1,5990,Prolific
6107d8ee8bd9a035d04f6d98,,carpet,0,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,2781,Prolific
6172607a932e0b0c3523854d,roof,carpet,0.166666667,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,2834,Prolific
628e0063fa56e316da2a71cb,carpet,carpet,1,1,1,Read,ceiling,Study1,M,Study Phase,Recall1,3795,Prolific
631512727c23394ca21acbfb,,carpet,0,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,2370,Prolific
63d7d95057d77b4c34b3afe8,carpet,carpet,1,1,1,Read,ceiling,Study1,M,Study Phase,Recall1,3017,Prolific
55b2d3f2fdf99b525bc839aa,dance,dance,1,1,1,Read,circle,Study1,M,Study Phase,Recall1,5681,Prolific
5a8b1ee2000dab00018cc7cd,dance,dance,1,1,1,Read,circle,Study1,M,Study Phase,Recall1,8427,Prolific
5d4225e01985380018375d83,shape,dance,0.4,0,1,Read,circle,Study1,M,Study Phase,Recall1,8172,Prolific
602454a47d0d7d121a1e444b,sqaure,dance,0.333333333,0,1,Read,circle,Study1,M,Study Phase,Recall1,5301,Prolific
6107d8ee8bd9a035d04f6d98,,dance,0,0,1,Read,circle,Study1,M,Study Phase,Recall1,840,Prolific
6172607a932e0b0c3523854d,dance,dance,1,1,1,Read,circle,Study1,M,Study Phase,Recall1,4199,Prolific
628e0063fa56e316da2a71cb,wagon,dance,0.4,0,1,Read,circle,Study1,M,Study Phase,Recall1,5484,Prolific
631512727c23394ca21acbfb,,dance,0,0,1,Read,circle,Study1,M,Study Phase,Recall1,1345,Prolific
63d7d95057d77b4c34b3afe8,square,dance,0.333333333,0,1,Read,circle,Study1,M,Study Phase,Recall1,2788,Prolific
55b2d3f2fdf99b525bc839aa,pop,election,0.125,0,1,Read,crackle,Study1,U,Study Phase,Recall1,1687,Prolific
5a8b1ee2000dab00018cc7cd,election,election,1,1,1,Read,crackle,Study1,U,Study Phase,Recall1,4740,Prolific
5d4225e01985380018375d83,cackle ,election,0.375,0,1,Read,crackle,Study1,U,Study Phase,Recall1,4045,Prolific
602454a47d0d7d121a1e444b,electricity,election,0.545454545,0,1,Read,crackle,Study1,U,Study Phase,Recall1,11767,Prolific
6107d8ee8bd9a035d04f6d98,,election,0,0,1,Read,crackle,Study1,U,Study Phase,Recall1,1856,Prolific
6172607a932e0b0c3523854d,christmas,election,0.333333333,0,1,Read,crackle,Study1,U,Study Phase,Recall1,8828,Prolific
628e0063fa56e316da2a71cb,wagon,election,0.25,0,1,Read,crackle,Study1,U,Study Phase,Recall1,21205,Prolific
631512727c23394ca21acbfb,,election,0,0,1,Read,crackle,Study1,U,Study Phase,Recall1,2459,Prolific
63d7d95057d77b4c34b3afe8,election,election,1,1,1,Read,crackle,Study1,U,Study Phase,Recall1,9077,Prolific
