id,Response,key,percent_match,Scored,Condition.Number,Condition.Description,Stimuli.Cue,Stimuli.Shuffle,Stimuli.Stimuli.Notes,Procedure.Shuffle,Response.JOL,Procedure.Shuffle.1,Response.RT,Platform
565c6791c121fe0012fc3caf,love,love,1,1,2,JOL,affection,Study1,F,Study Phase,20,Recall1,2884,Prolific
58ed7f5aac62dc00019366a9,,love,0,0,2,JOL,affection,Study1,F,Study Phase,98,Recall1,693,Prolific
5c0dbb9b9166290001253342,love,love,1,1,2,JOL,affection,Study1,F,Study Phase,90,Recall1,4590,Prolific
5dd0749782569a156ed4f658,love,love,1,1,2,JOL,affection,Study1,F,Study Phase,85,Recall1,2149,Prolific
5e0a434b8676812de85037c3,love,love,1,1,2,JOL,affection,Study1,F,Study Phase,60,Recall1,1780,Prolific
61041a3b4159985f5294a436,love,love,1,1,2,JOL,affection,Study1,F,Study Phase,99,Recall1,1711,Prolific
62029a55ef1cb18a1337c61a,love,love,1,1,2,JOL,affection,Study1,F,Study Phase,100,Recall1,1607,Prolific
62d43cee3d60ac98c1dcacc8,caring,love,0,0,2,JOL,affection,Study1,F,Study Phase,75,Recall1,3429,Prolific
630cc9747cb664e8a03c29f0,love,love,1,1,2,JOL,affection,Study1,F,Study Phase,55,Recall1,1774,Prolific
63a68daa57320319534db166,love,love,1,1,2,JOL,affection,Study1,F,Study Phase,80,Recall1,7004,Prolific
63d82b2de40f94ceb14816cc,love,love,1,1,2,JOL,affection,Study1,F,Study Phase,60,Recall1,5135,Prolific
63d87d58ddc4d930bbc9568e,love,love,1,1,2,JOL,affection,Study1,F,Study Phase,45,Recall1,6181,Prolific
565c6791c121fe0012fc3caf,,bounce,0,0,2,JOL,bat,Study1,M,Study Phase,5,Recall1,3323,Prolific
58ed7f5aac62dc00019366a9,ball,bounce,0.166666667,0,2,JOL,bat,Study1,M,Study Phase,1,Recall1,5785,Prolific
5c0dbb9b9166290001253342,bounce,bounce,1,1,2,JOL,bat,Study1,M,Study Phase,0,Recall1,7672,Prolific
5dd0749782569a156ed4f658,bounce,bounce,1,1,2,JOL,bat,Study1,M,Study Phase,22,Recall1,3401,Prolific
5e0a434b8676812de85037c3,ball,bounce,0.166666667,0,2,JOL,bat,Study1,M,Study Phase,25,Recall1,1732,Prolific
61041a3b4159985f5294a436,bounce,bounce,1,1,2,JOL,bat,Study1,M,Study Phase,30,Recall1,2297,Prolific
62029a55ef1cb18a1337c61a,bounce,bounce,1,1,2,JOL,bat,Study1,M,Study Phase,0,Recall1,1867,Prolific
62d43cee3d60ac98c1dcacc8,round,bounce,0.5,0,2,JOL,bat,Study1,M,Study Phase,4,Recall1,3122,Prolific
630cc9747cb664e8a03c29f0,ball,bounce,0.166666667,0,2,JOL,bat,Study1,M,Study Phase,15,Recall1,2011,Prolific
63a68daa57320319534db166,bounce,bounce,1,1,2,JOL,bat,Study1,M,Study Phase,40,Recall1,9964,Prolific
63d82b2de40f94ceb14816cc,bounce,bounce,1,1,2,JOL,bat,Study1,M,Study Phase,30,Recall1,3280,Prolific
