"Username","Response.Response","Stimuli.Answer","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.RT","Procedure.Shuffle.1"
"55b2d3f2fdf99b525bc839aa","love","love",1,"Read","affection","Study1","F","Study Phase",989,"Recall1"
"56fc8248b5648e000fac9980","hug","love",1,"Read","affection","Study1","F","Study Phase",971,"Recall1"
"5a8b1ee2000dab00018cc7cd","love","love",1,"Read","affection","Study1","F","Study Phase",6945,"Recall1"
"5d4225e01985380018375d83","kiss","love",1,"Read","affection","Study1","F","Study Phase",1010,"Recall1"
"5f79bca83a2eb65c0983816d","love ","love",1,"Read","affection","Study1","F","Study Phase",2271,"Recall1"
"602454a47d0d7d121a1e444b","love","love",1,"Read","affection","Study1","F","Study Phase",2610,"Recall1"
"6107d8ee8bd9a035d04f6d98","","love",1,"Read","affection","Study1","F","Study Phase",2024,"Recall1"
"6172607a932e0b0c3523854d","love","love",1,"Read","affection","Study1","F","Study Phase",875,"Recall1"
"62877d5f6a054e53313ac916","love","love",1,"Read","affection","Study1","F","Study Phase",820,"Recall1"
"628e0063fa56e316da2a71cb","love","love",1,"Read","affection","Study1","F","Study Phase",1555,"Recall1"
"631512727c23394ca21acbfb","","love",1,"Read","affection","Study1","F","Study Phase",1146,"Recall1"
"63d7d95057d77b4c34b3afe8","love","love",1,"Read","affection","Study1","F","Study Phase",2704,"Recall1"
"55b2d3f2fdf99b525bc839aa","bounce","bounce",1,"Read","bat","Study1","M","Study Phase",936,"Recall1"
"56fc8248b5648e000fac9980","ball","bounce",1,"Read","bat","Study1","M","Study Phase",1833,"Recall1"
"5a8b1ee2000dab00018cc7cd","bounce","bounce",1,"Read","bat","Study1","M","Study Phase",8284,"Recall1"
"5d4225e01985380018375d83","ball","bounce",1,"Read","bat","Study1","M","Study Phase",1500,"Recall1"
"5f79bca83a2eb65c0983816d","ball","bounce",1,"Read","bat","Study1","M","Study Phase",1213,"Recall1"
"602454a47d0d7d121a1e444b","cat","bounce",1,"Read","bat","Study1","M","Study Phase",2588,"Recall1"
"6107d8ee8bd9a035d04f6d98","","bounce",1,"Read","bat","Study1","M","Study Phase",2445,"Recall1"
"6172607a932e0b0c3523854d","black","bounce",1,"Read","bat","Study1","M","Study Phase",1059,"Recall1"
"62877d5f6a054e53313ac916","ball","bounce",1,"Read","bat","Study1","M","Study Phase",523,"Recall1"
"628e0063fa56e316da2a71cb","ball","bounce",1,"Read","bat","Study1","M","Study Phase",1809,"Recall1"
"631512727c23394ca21acbfb","","bounce",1,"Read","bat","Study1","M","Study Phase",2094,"Recall1"
"63d7d95057d77b4c34b3afe8","bounce","bounce",1,"Read","bat","Study1","M","Study Phase",1884,"Recall1"
"55b2d3f2fdf99b525bc839aa","sand","box",1,"Read","beach","Study1","M","Study Phase",1891,"Recall1"
"56fc8248b5648e000fac9980","shell","box",1,"Read","beach","Study1","M","Study Phase",1285,"Recall1"
"5a8b1ee2000dab00018cc7cd","box","box",1,"Read","beach","Study1","M","Study Phase",6177,"Recall1"
"5d4225e01985380018375d83","water","box",1,"Read","beach","Study1","M","Study Phase",1119,"Recall1"
"5f79bca83a2eb65c0983816d","sand","box",1,"Read","beach","Study1","M","Study Phase",1169,"Recall1"
"602454a47d0d7d121a1e444b","blast","box",1,"Read","beach","Study1","M","Study Phase",2796,"Recall1"
"6107d8ee8bd9a035d04f6d98","","box",1,"Read","beach","Study1","M","Study Phase",1601,"Recall1"
"6172607a932e0b0c3523854d","lake","box",1,"Read","beach","Study1","M","Study Phase",889,"Recall1"
"62877d5f6a054e53313ac916","weather","box",1,"Read","beach","Study1","M","Study Phase",940,"Recall1"
"628e0063fa56e316da2a71cb","bat","box",1,"Read","beach","Study1","M","Study Phase",2085,"Recall1"
"631512727c23394ca21acbfb","","box",1,"Read","beach","Study1","M","Study Phase",1181,"Recall1"
"63d7d95057d77b4c34b3afe8","box","box",1,"Read","beach","Study1","M","Study Phase",1978,"Recall1"
"55b2d3f2fdf99b525bc839aa","day","pie",1,"Read","birthday","Study1","M","Study Phase",935,"Recall1"
"56fc8248b5648e000fac9980","cake","pie",1,"Read","birthday","Study1","M","Study Phase",774,"Recall1"
"5a8b1ee2000dab00018cc7cd","pie","pie",1,"Read","birthday","Study1","M","Study Phase",9204,"Recall1"
"5d4225e01985380018375d83","candle","pie",1,"Read","birthday","Study1","M","Study Phase",1443,"Recall1"
"5f79bca83a2eb65c0983816d","cake","pie",1,"Read","birthday","Study1","M","Study Phase",1134,"Recall1"
"602454a47d0d7d121a1e444b","pie","pie",1,"Read","birthday","Study1","M","Study Phase",5918,"Recall1"
"6107d8ee8bd9a035d04f6d98","","pie",1,"Read","birthday","Study1","M","Study Phase",1847,"Recall1"
"6172607a932e0b0c3523854d","pie","pie",1,"Read","birthday","Study1","M","Study Phase",554,"Recall1"
"62877d5f6a054e53313ac916","cake","pie",1,"Read","birthday","Study1","M","Study Phase",538,"Recall1"
"628e0063fa56e316da2a71cb","pie","pie",1,"Read","birthday","Study1","M","Study Phase",1503,"Recall1"
"631512727c23394ca21acbfb","pie","pie",1,"Read","birthday","Study1","M","Study Phase",1489,"Recall1"
"63d7d95057d77b4c34b3afe8","pie","pie",1,"Read","birthday","Study1","M","Study Phase",3663,"Recall1"
"55b2d3f2fdf99b525bc839aa","bread","hand",1,"Read","cake","Study1","U","Study Phase",818,"Recall1"
"56fc8248b5648e000fac9980","layer","hand",1,"Read","cake","Study1","U","Study Phase",764,"Recall1"
"5a8b1ee2000dab00018cc7cd","hand","hand",1,"Read","cake","Study1","U","Study Phase",7429,"Recall1"
"5d4225e01985380018375d83","bake","hand",1,"Read","cake","Study1","U","Study Phase",982,"Recall1"
"5f79bca83a2eb65c0983816d","eat","hand",1,"Read","cake","Study1","U","Study Phase",1121,"Recall1"
"602454a47d0d7d121a1e444b","hand","hand",1,"Read","cake","Study1","U","Study Phase",2281,"Recall1"
"6107d8ee8bd9a035d04f6d98","","hand",1,"Read","cake","Study1","U","Study Phase",1830,"Recall1"
"6172607a932e0b0c3523854d","pie","hand",1,"Read","cake","Study1","U","Study Phase",842,"Recall1"
"62877d5f6a054e53313ac916","birthday","hand",1,"Read","cake","Study1","U","Study Phase",532,"Recall1"
"628e0063fa56e316da2a71cb","","hand",1,"Read","cake","Study1","U","Study Phase",2031,"Recall1"
"631512727c23394ca21acbfb","","hand",1,"Read","cake","Study1","U","Study Phase",1554,"Recall1"
"63d7d95057d77b4c34b3afe8","eat","hand",1,"Read","cake","Study1","U","Study Phase",2473,"Recall1"
"55b2d3f2fdf99b525bc839aa","maze","carpet",1,"Read","ceiling","Study1","M","Study Phase",906,"Recall1"
"56fc8248b5648e000fac9980","fan","carpet",1,"Read","ceiling","Study1","M","Study Phase",1924,"Recall1"
"5a8b1ee2000dab00018cc7cd","carpet","carpet",1,"Read","ceiling","Study1","M","Study Phase",8195,"Recall1"
"5d4225e01985380018375d83","high","carpet",1,"Read","ceiling","Study1","M","Study Phase",1322,"Recall1"
"5f79bca83a2eb65c0983816d","floor","carpet",1,"Read","ceiling","Study1","M","Study Phase",1559,"Recall1"
"602454a47d0d7d121a1e444b","carpet","carpet",1,"Read","ceiling","Study1","M","Study Phase",3735,"Recall1"
"6107d8ee8bd9a035d04f6d98","","carpet",1,"Read","ceiling","Study1","M","Study Phase",1828,"Recall1"
"6172607a932e0b0c3523854d","roof","carpet",1,"Read","ceiling","Study1","M","Study Phase",1697,"Recall1"
"62877d5f6a054e53313ac916","carpet","carpet",1,"Read","ceiling","Study1","M","Study Phase",803,"Recall1"
"628e0063fa56e316da2a71cb","carpet","carpet",1,"Read","ceiling","Study1","M","Study Phase",2443,"Recall1"
"631512727c23394ca21acbfb","","carpet",1,"Read","ceiling","Study1","M","Study Phase",2093,"Recall1"
"63d7d95057d77b4c34b3afe8","carpet","carpet",1,"Read","ceiling","Study1","M","Study Phase",1232,"Recall1"
"55b2d3f2fdf99b525bc839aa","dance","dance",1,"Read","circle","Study1","M","Study Phase",2186,"Recall1"
"56fc8248b5648e000fac9980","square","dance",1,"Read","circle","Study1","M","Study Phase",1217,"Recall1"
"5a8b1ee2000dab00018cc7cd","dance","dance",1,"Read","circle","Study1","M","Study Phase",11242,"Recall1"
"5d4225e01985380018375d83","shape","dance",1,"Read","circle","Study1","M","Study Phase",2057,"Recall1"
"5f79bca83a2eb65c0983816d","round ","dance",1,"Read","circle","Study1","M","Study Phase",1300,"Recall1"
"602454a47d0d7d121a1e444b","sqaure","dance",1,"Read","circle","Study1","M","Study Phase",2440,"Recall1"
"6107d8ee8bd9a035d04f6d98","","dance",1,"Read","circle","Study1","M","Study Phase",1461,"Recall1"
"6172607a932e0b0c3523854d","dance","dance",1,"Read","circle","Study1","M","Study Phase",1381,"Recall1"
"62877d5f6a054e53313ac916","shape","dance",1,"Read","circle","Study1","M","Study Phase",715,"Recall1"
"628e0063fa56e316da2a71cb","wagon","dance",1,"Read","circle","Study1","M","Study Phase",2145,"Recall1"
"631512727c23394ca21acbfb","","dance",1,"Read","circle","Study1","M","Study Phase",1078,"Recall1"
"63d7d95057d77b4c34b3afe8","square","dance",1,"Read","circle","Study1","M","Study Phase",1873,"Recall1"
"55b2d3f2fdf99b525bc839aa","pop","election",1,"Read","crackle","Study1","U","Study Phase",1213,"Recall1"
"56fc8248b5648e000fac9980","glass","election",1,"Read","crackle","Study1","U","Study Phase",1633,"Recall1"
"5a8b1ee2000dab00018cc7cd","election","election",1,"Read","crackle","Study1","U","Study Phase",26070,"Recall1"
"5d4225e01985380018375d83","cackle ","election",1,"Read","crackle","Study1","U","Study Phase",2902,"Recall1"
"5f79bca83a2eb65c0983816d","fire","election",1,"Read","crackle","Study1","U","Study Phase",1214,"Recall1"
"602454a47d0d7d121a1e444b","electricity","election",1,"Read","crackle","Study1","U","Study Phase",2757,"Recall1"
"6107d8ee8bd9a035d04f6d98","","election",1,"Read","crackle","Study1","U","Study Phase",2134,"Recall1"
"6172607a932e0b0c3523854d","christmas","election",1,"Read","crackle","Study1","U","Study Phase",871,"Recall1"
