Item,Trial Type,Max Time,Min Time,Text,Procedure Notes,Shuffle,
0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,
0,Instruct,-,10,"As you study, you will be asked to rate your ability to remember the second item in the pair on a later test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,
0,Instruct,-,10,"For  example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,
0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,
0,Instruct,User,-,You will now begin the study. Press Enter when you are ready to begin.,,Instruct16,
2,Study,User,-,,Study/JOL,BUFFER,
3,Study,User,-,,Study/JOL,BUFFER,
4,Study,User,-,,Study/JOL,BUFFER,
5,Study,User,-,,Study/JOL,BUFFER,
6,Study,User,-,,Study/JOL,BUFFER,
7,Study,User,-,,Study/JOL,Study Phase,
8,Study,User,-,,Study/JOL,Study Phase,
9,Study,User,-,,Study/JOL,Study Phase,
10,Study,User,-,,Study/JOL,Study Phase,
11,Study,User,-,,Study/JOL,Study Phase,
12,Study,User,-,,Study/JOL,Study Phase,
13,Study,User,-,,Study/JOL,Study Phase,
14,Study,User,-,,Study/JOL,Study Phase,
15,Study,User,-,,Study/JOL,Study Phase,
16,Study,User,-,,Study/JOL,Study Phase,
17,Study,User,-,,Study/JOL,Study Phase,
18,Study,User,-,,Study/JOL,Study Phase,
19,Study,User,-,,Study/JOL,Study Phase,
20,Study,User,-,,Study/JOL,Study Phase,
21,Study,User,-,,Study/JOL,Study Phase,
22,Study,User,-,,Study/JOL,Study Phase,
23,Study,User,-,,Study/JOL,Study Phase,
24,Study,User,-,,Study/JOL,Study Phase,
25,Study,User,-,,Study/JOL,Study Phase,
26,Study,User,-,,Study/JOL,Study Phase,
27,Study,User,-,,Study/JOL,Study Phase,
28,Study,User,-,,Study/JOL,Study Phase,
29,Study,User,-,,Study/JOL,Study Phase,
30,Study,User,-,,Study/JOL,Study Phase,
31,Study,User,-,,Study/JOL,Study Phase,
32,Study,User,-,,Study/JOL,Study Phase,
33,Study,User,-,,Study/JOL,Study Phase,
34,Study,User,-,,Study/JOL,Study Phase,
35,Study,User,-,,Study/JOL,Study Phase,
36,Study,User,-,,Study/JOL,Study Phase,
37,Study,User,-,,Study/JOL,BUFFER2,
38,Study,User,-,,Study/JOL,BUFFER2,
39,Study,User,-,,Study/JOL,BUFFER2,
40,Study,User,-,,Study/JOL,BUFFER2,
41,Study,User,-,,Study/JOL,BUFFER2,
0,Instruct,User,-,You have completed this section. Please press Enter.,Filler_Instruction,Instruct2,
0,FreeRecall,120,120,Please list the 50 US states in alphabetical order. The task will automatically advance to the next screen after two minutes.,,Filler1,
0,Instruct,User,10,"Your memory will now be tested. You will be presented with a series of words that may or may not have previously been presented alongisde another word. If the word on the screen was previously studied, please select YES. If the word was not studied, select NO. PLEASE DO NOT SKIP ITEMS! Click next when you are ready to begin.",,Instruc7982154d,
42,Likert,User,1,Was this item previously studied? ,CONTROL,Recog,1::2
43,Likert,User,1,Was this item previously studied? ,CONTROL,Recog,1::2
44,Likert,User,1,Was this item previously studied? ,CONTROL,Recog,1::2
45,Likert,User,1,Was this item previously studied? ,CONTROL,Recog,1::2
46,Likert,User,1,Was this item previously studied? ,CONTROL,Recog,1::2
47,Likert,User,1,Was this item previously studied? ,CONTROL,Recog,1::2
48,Likert,User,1,Was this item previously studied? ,CONTROL,Recog,1::2
49,Likert,User,1,Was this item previously studied? ,CONTROL,Recog,1::2
