Item,Trial Type,Max Time,Min Time,Text,Procedure Notes,Shuffle,
0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,
0,Instruct,User,-,You will now begin. Press Enter when you are ready to begin.,,Instruct16,
2,Study,User,-,,Study/JOL,BUFFER,
3,Study,User,-,,Study/JOL,BUFFER,
4,Study,User,-,,Study/JOL,BUFFER,
5,Study,User,-,,Study/JOL,BUFFER,
6,Study,User,-,,Study/JOL,BUFFER,
7,Study,User,-,,Study/JOL,Study Phase,
8,Study,User,-,,Study/JOL,Study Phase,
9,Study,User,-,,Study/JOL,Study Phase,
10,Study,User,-,,Study/JOL,Study Phase,
11,Study,User,-,,Study/JOL,Study Phase,
12,Study,User,-,,Study/JOL,Study Phase,
13,Study,User,-,,Study/JOL,Study Phase,
14,Study,User,-,,Study/JOL,Study Phase,
15,Study,User,-,,Study/JOL,Study Phase,
16,Study,User,-,,Study/JOL,Study Phase,
17,Study,User,-,,Study/JOL,Study Phase,
18,Study,User,-,,Study/JOL,Study Phase,
19,Study,User,-,,Study/JOL,Study Phase,
20,Study,User,-,,Study/JOL,Study Phase,
21,Study,User,-,,Study/JOL,Study Phase,
22,Study,User,-,,Study/JOL,Study Phase,
23,Study,User,-,,Study/JOL,Study Phase,
24,Study,User,-,,Study/JOL,Study Phase,
25,Study,User,-,,Study/JOL,Study Phase,
26,Study,User,-,,Study/JOL,Study Phase,
27,Study,User,-,,Study/JOL,Study Phase,
28,Study,User,-,,Study/JOL,Study Phase,
29,Study,User,-,,Study/JOL,Study Phase,
30,Study,User,-,,Study/JOL,Study Phase,
31,Study,User,-,,Study/JOL,Study Phase,
32,Study,User,-,,Study/JOL,Study Phase,
33,Study,User,-,,Study/JOL,Study Phase,
34,Study,User,-,,Study/JOL,Study Phase,
35,Study,User,-,,Study/JOL,Study Phase,
36,Study,User,-,,Study/JOL,Study Phase,
37,Study,User,-,,Study/JOL,Study Phase,
38,Study,User,-,,Study/JOL,Study Phase,
39,Study,User,-,,Study/JOL,Study Phase,
40,Study,User,-,,Study/JOL,Study Phase,
41,Study,User,-,,Study/JOL,Study Phase,
42,Study,User,-,,Study/JOL,Study Phase,
43,Study,User,-,,Study/JOL,Study Phase,
44,Study,User,-,,Study/JOL,Study Phase,
45,Study,User,-,,Study/JOL,Study Phase,
46,Study,User,-,,Study/JOL,Study Phase,
47,Study,User,-,,Study/JOL,Study Phase,
48,Study,User,-,,Study/JOL,Study Phase,
49,Study,User,-,,Study/JOL,Study Phase,
50,Study,User,-,,Study/JOL,Study Phase,
51,Study,User,-,,Study/JOL,Study Phase,
52,Study,User,-,,Study/JOL,BUFFER2,
53,Study,User,-,,Study/JOL,BUFFER2,
54,Study,User,-,,Study/JOL,BUFFER2,
55,Study,User,-,,Study/JOL,BUFFER2,
56,Study,User,-,,Study/JOL,BUFFER2,
0,Instruct,User,-,You have completed this section. Please press Enter.,Filler_Instruction,Instruct2,
0,FreeRecall,120,120,Please list the 50 US states in alphabetical order. The task will automatically advance to the next screen after two minutes.,,Filler1,
0,Instruct,-,10,"You will now be presented with the first word from each of the previously studied item pairs. Please type the missing word. If you do not know the word, you may guess or press Enter to skip forward to the next pair.",,Instruct3,
0,Instruct,User,10,"Your memory will now be tested. You will be presented with a series of words. If the word on the screen was previously studied, please select YES. If the word was not studied, select NO. PLEASE DO NOT SKIP ITEMS! Click next when you are ready to begin.",,Instruc7982154d,
57,Likert,User,1,Was this item previously studied? ,CONTROL,Recog,1::2
58,Likert,User,1,Was this item previously studied? ,CONTROL,Recog,1::2
59,Likert,User,1,Was this item previously studied? ,CONTROL,Recog,1::2
60,Likert,User,1,Was this item previously studied? ,CONTROL,Recog,1::2
61,Likert,User,1,Was this item previously studied? ,CONTROL,Recog,1::2
62,Likert,User,1,Was this item previously studied? ,CONTROL,Recog,1::2
63,Likert,User,1,Was this item previously studied? ,CONTROL,Recog,1::2
64,Likert,User,1,Was this item previously studied? ,CONTROL,Recog,1::2
65,Likert,User,1,Was this item previously studied? ,CONTROL,Recog,1::2
66,Likert,User,1,Was this item previously studied? ,CONTROL,Recog,1::2
67,Likert,User,1,Was this item previously studied? ,CONTROL,Recog,1::2
68,Likert,User,1,Was this item previously studied? ,CONTROL,Recog,1::2
