id,Response,key,percent_match,Scored,Condition.Number,Condition.Description,Stimuli.Cue,Stimuli.Shuffle,Stimuli.Stimuli.Notes,Procedure.Shuffle,Response.JOL,Procedure.Shuffle.1,Response.RT,Platform
10066214OD,love,love,1,1,2,JOL,affection,Study1,F,Study Phase,95,Recall1,2024,USM
w100152402_MKT,love,love,1,1,2,JOL,affection,Study1,F,Study Phase,80,Recall1,3332,USM
w10042654_kw,love,love,1,1,2,JOL,affection,Study1,F,Study Phase,55,Recall1,12572,USM
w10090906KM,love,love,1,1,2,JOL,affection,Study1,F,Study Phase,95,Recall1,168377,USM
w10098759_caa,love,love,1,1,2,JOL,affection,Study1,F,Study Phase,90,Recall1,2774,USM
w10128905_IAT,love,love,1,1,2,JOL,affection,Study1,F,Study Phase,70,Recall1,1665,USM
w10136452dns,love,love,1,1,2,JOL,affection,Study1,F,Study Phase,60,Recall1,1684,USM
w10150573_kaj,love,love,1,1,2,JOL,affection,Study1,F,Study Phase,90,Recall1,1334,USM
W10156412_WAGR,love,love,1,1,2,JOL,affection,Study1,F,Study Phase,80,Recall1,5473,USM
w10162630_CAG,,love,0,0,2,JOL,affection,Study1,F,Study Phase,90,Recall1,616,USM
w821455_akg,love,love,1,1,2,JOL,affection,Study1,F,Study Phase,80,Recall1,26899,USM
w963035,love,love,1,1,2,JOL,affection,Study1,F,Study Phase,100,Recall1,1769,USM
10066214OD,hit,bounce,0,0,2,JOL,bat,Study1,M,Study Phase,3,Recall1,3090,USM
w100152402_MKT,bounce,bounce,1,1,2,JOL,bat,Study1,M,Study Phase,30,Recall1,3716,USM
w10042654_kw,bathe,bounce,0.333333333,0,2,JOL,bat,Study1,M,Study Phase,34,Recall1,14178,USM
w10090906KM,wing,bounce,0.166666667,0,2,JOL,bat,Study1,M,Study Phase,40,Recall1,17610,USM
w10098759_caa,night,bounce,0.166666667,0,2,JOL,bat,Study1,M,Study Phase,60,Recall1,3372,USM
w10128905_IAT,bounce,bounce,1,1,2,JOL,bat,Study1,M,Study Phase,15,Recall1,3225,USM
w10136452dns,,bounce,0,0,2,JOL,bat,Study1,M,Study Phase,25,Recall1,1690,USM
w10150573_kaj,,bounce,0,0,2,JOL,bat,Study1,M,Study Phase,10,Recall1,3003,USM
W10156412_WAGR,,bounce,0,0,2,JOL,bat,Study1,M,Study Phase,15,Recall1,14072,USM
w10162630_CAG,,bounce,0,0,2,JOL,bat,Study1,M,Study Phase,10,Recall1,4572,USM
w821455_akg,bounce,bounce,1,1,2,JOL,bat,Study1,M,Study Phase,5,Recall1,4900,USM
w963035,bounce ,bounce,0.857142857,1,2,JOL,bat,Study1,M,Study Phase,0,Recall1,6218,USM
10066214OD,light,box,0,0,2,JOL,beach,Study1,M,Study Phase,20,Recall1,3484,USM
w100152402_MKT,waves,box,0,0,2,JOL,beach,Study1,M,Study Phase,40,Recall1,3275,USM
w10042654_kw,box,box,1,1,2,JOL,beach,Study1,M,Study Phase,30,Recall1,5265,USM
w10090906KM,wear,box,0,0,2,JOL,beach,Study1,M,Study Phase,15,Recall1,5981,USM
w10098759_caa,sand,box,0,0,2,JOL,beach,Study1,M,Study Phase,15,Recall1,17855,USM
w10128905_IAT,box,box,1,1,2,JOL,beach,Study1,M,Study Phase,10,Recall1,4071,USM
w10136452dns,box,box,1,1,2,JOL,beach,Study1,M,Study Phase,30,Recall1,2204,USM
w10150573_kaj,box,box,1,1,2,JOL,beach,Study1,M,Study Phase,10,Recall1,1976,USM
W10156412_WAGR,box,box,1,1,2,JOL,beach,Study1,M,Study Phase,15,Recall1,3655,USM
w10162630_CAG,box,box,1,1,2,JOL,beach,Study1,M,Study Phase,20,Recall1,2912,USM
w821455_akg,box,box,1,1,2,JOL,beach,Study1,M,Study Phase,35,Recall1,2579,USM
w963035,sand,box,0,0,2,JOL,beach,Study1,M,Study Phase,0,Recall1,2158,USM
10066214OD,pie,pie,1,1,2,JOL,birthday,Study1,M,Study Phase,32,Recall1,2392,USM
w100152402_MKT,cake,pie,0.25,0,2,JOL,birthday,Study1,M,Study Phase,40,Recall1,2955,USM
w10042654_kw,birthnight,pie,0.1,0,2,JOL,birthday,Study1,M,Study Phase,50,Recall1,13560,USM
w10090906KM,cake,pie,0.25,0,2,JOL,birthday,Study1,M,Study Phase,15,Recall1,24812,USM
w10098759_caa,year,pie,0.25,0,2,JOL,birthday,Study1,M,Study Phase,70,Recall1,5804,USM
w10128905_IAT,pie,pie,1,1,2,JOL,birthday,Study1,M,Study Phase,20,Recall1,2106,USM
w10136452dns,cake,pie,0.25,0,2,JOL,birthday,Study1,M,Study Phase,25,Recall1,3279,USM
w10150573_kaj,,pie,0,0,2,JOL,birthday,Study1,M,Study Phase,10,Recall1,4289,USM
W10156412_WAGR,pie,pie,1,1,2,JOL,birthday,Study1,M,Study Phase,35,Recall1,2138,USM
w10162630_CAG,,pie,0,0,2,JOL,birthday,Study1,M,Study Phase,10,Recall1,770,USM
w821455_akg,pie,pie,1,1,2,JOL,birthday,Study1,M,Study Phase,10,Recall1,40060,USM
w963035,cake,pie,0.25,0,2,JOL,birthday,Study1,M,Study Phase,0,Recall1,2332,USM
10066214OD,boas,hand,0.25,0,2,JOL,cake,Study1,U,Study Phase,8,Recall1,19293,USM
w100152402_MKT,partuy,hand,0.166666667,0,2,JOL,cake,Study1,U,Study Phase,70,Recall1,2809,USM
w10042654_kw,food,hand,0.25,0,2,JOL,cake,Study1,U,Study Phase,45,Recall1,8548,USM
w10090906KM,pop,hand,0,0,2,JOL,cake,Study1,U,Study Phase,30,Recall1,4129,USM
w10098759_caa,paper,hand,0.2,0,2,JOL,cake,Study1,U,Study Phase,14,Recall1,5638,USM
w10128905_IAT,hand,hand,1,1,2,JOL,cake,Study1,U,Study Phase,20,Recall1,3787,USM
w10136452dns,birthday,hand,0.375,0,2,JOL,cake,Study1,U,Study Phase,30,Recall1,3738,USM
w10150573_kaj,,hand,0,0,2,JOL,cake,Study1,U,Study Phase,0,Recall1,1759,USM
W10156412_WAGR,hand,hand,1,1,2,JOL,cake,Study1,U,Study Phase,40,Recall1,1833,USM
w10162630_CAG,,hand,0,0,2,JOL,cake,Study1,U,Study Phase,0,Recall1,1163,USM
w821455_akg,hand,hand,1,1,2,JOL,cake,Study1,U,Study Phase,11,Recall1,39138,USM
w963035,batter,hand,0.166666667,0,2,JOL,cake,Study1,U,Study Phase,0,Recall1,4250,USM
10066214OD,floor,carpet,0.166666667,0,2,JOL,ceiling,Study1,M,Study Phase,15,Recall1,2644,USM
w100152402_MKT,floor,carpet,0.166666667,0,2,JOL,ceiling,Study1,M,Study Phase,40,Recall1,2027,USM
w10042654_kw,carpet,carpet,1,1,2,JOL,ceiling,Study1,M,Study Phase,58,Recall1,4962,USM
w10090906KM,fan,carpet,0.166666667,0,2,JOL,ceiling,Study1,M,Study Phase,25,Recall1,32346,USM
w10098759_caa,carpet,carpet,1,1,2,JOL,ceiling,Study1,M,Study Phase,5,Recall1,8558,USM
w10128905_IAT,carpet,carpet,1,1,2,JOL,ceiling,Study1,M,Study Phase,85,Recall1,5680,USM
w10136452dns,carpet,carpet,1,1,2,JOL,ceiling,Study1,M,Study Phase,30,Recall1,3572,USM
w10150573_kaj,carpet,carpet,1,1,2,JOL,ceiling,Study1,M,Study Phase,10,Recall1,2502,USM
W10156412_WAGR,carpet,carpet,1,1,2,JOL,ceiling,Study1,M,Study Phase,75,Recall1,2559,USM
w10162630_CAG,,carpet,0,0,2,JOL,ceiling,Study1,M,Study Phase,0,Recall1,950,USM
w821455_akg,carpet,carpet,1,1,2,JOL,ceiling,Study1,M,Study Phase,60,Recall1,3629,USM
w963035,floor,carpet,0.166666667,0,2,JOL,ceiling,Study1,M,Study Phase,100,Recall1,3283,USM
10066214OD,dance,dance,1,1,2,JOL,circle,Study1,M,Study Phase,20,Recall1,2276,USM
w100152402_MKT,round,dance,0.4,0,2,JOL,circle,Study1,M,Study Phase,30,Recall1,3419,USM
w10042654_kw,square,dance,0.333333333,0,2,JOL,circle,Study1,M,Study Phase,20,Recall1,6399,USM
w10090906KM,square,dance,0.333333333,0,2,JOL,circle,Study1,M,Study Phase,23,Recall1,3279,USM
w10098759_caa,square,dance,0.333333333,0,2,JOL,circle,Study1,M,Study Phase,10,Recall1,4451,USM
w10128905_IAT,dance,dance,1,1,2,JOL,circle,Study1,M,Study Phase,20,Recall1,1931,USM
w10136452dns,,dance,0,0,2,JOL,circle,Study1,M,Study Phase,20,Recall1,1623,USM
w10150573_kaj,,dance,0,0,2,JOL,circle,Study1,M,Study Phase,60,Recall1,973,USM
W10156412_WAGR,dance,dance,1,1,2,JOL,circle,Study1,M,Study Phase,75,Recall1,4081,USM
w10162630_CAG,,dance,0,0,2,JOL,circle,Study1,M,Study Phase,10,Recall1,594,USM
w821455_akg,dance,dance,1,1,2,JOL,circle,Study1,M,Study Phase,50,Recall1,7684,USM
w963035,ball,dance,0.2,0,2,JOL,circle,Study1,M,Study Phase,0,Recall1,5079,USM
10066214OD,pop,election,0.125,0,2,JOL,crackle,Study1,U,Study Phase,9,Recall1,2195,USM
w100152402_MKT,soft,election,0.25,0,2,JOL,crackle,Study1,U,Study Phase,10,Recall1,4502,USM
w10042654_kw,pop,election,0.125,0,2,JOL,crackle,Study1,U,Study Phase,10,Recall1,3805,USM
w10090906KM,pop,election,0.125,0,2,JOL,crackle,Study1,U,Study Phase,45,Recall1,3059,USM
w10098759_caa,fire,election,0.25,0,2,JOL,crackle,Study1,U,Study Phase,0,Recall1,3166,USM
w10128905_IAT,,election,0,0,2,JOL,crackle,Study1,U,Study Phase,20,Recall1,4877,USM
w10136452dns,,election,0,0,2,JOL,crackle,Study1,U,Study Phase,5,Recall1,975,USM
w10150573_kaj,engine,election,0.5,0,2,JOL,crackle,Study1,U,Study Phase,0,Recall1,2435,USM
W10156412_WAGR,,election,0,0,2,JOL,crackle,Study1,U,Study Phase,0,Recall1,2901,USM
w10162630_CAG,,election,0,0,2,JOL,crackle,Study1,U,Study Phase,60,Recall1,1493,USM
w821455_akg,election,election,1,1,2,JOL,crackle,Study1,U,Study Phase,0,Recall1,32750,USM
w963035,crack,election,0.125,0,2,JOL,crackle,Study1,U,Study Phase,0,Recall1,5605,USM
10066214OD,salary,card,0.333333333,0,2,JOL,credit,Study1,F,Study Phase,100,Recall1,4076,USM
w100152402_MKT,cash,card,0.5,0,2,JOL,credit,Study1,F,Study Phase,100,Recall1,3268,USM
w10042654_kw,card,card,1,1,2,JOL,credit,Study1,F,Study Phase,98,Recall1,3175,USM
w10090906KM,card,card,1,1,2,JOL,credit,Study1,F,Study Phase,100,Recall1,2770,USM
w10098759_caa,card,card,1,1,2,JOL,credit,Study1,F,Study Phase,100,Recall1,3734,USM
w10128905_IAT,card,card,1,1,2,JOL,credit,Study1,F,Study Phase,100,Recall1,1742,USM
w10136452dns,card,card,1,1,2,JOL,credit,Study1,F,Study Phase,100,Recall1,2041,USM
w10150573_kaj,card,card,1,1,2,JOL,credit,Study1,F,Study Phase,100,Recall1,2078,USM
W10156412_WAGR,card,card,1,1,2,JOL,credit,Study1,F,Study Phase,100,Recall1,1925,USM
w10162630_CAG,,card,0,0,2,JOL,credit,Study1,F,Study Phase,20,Recall1,752,USM
w821455_akg,card,card,1,1,2,JOL,credit,Study1,F,Study Phase,100,Recall1,2090,USM
w963035,card,card,1,1,2,JOL,credit,Study1,F,Study Phase,100,Recall1,1876,USM
10066214OD,baby,bottle,0.166666667,0,2,JOL,cry,Study1,M,Study Phase,36,Recall1,2031,USM
w100152402_MKT,baby,bottle,0.166666667,0,2,JOL,cry,Study1,M,Study Phase,30,Recall1,1891,USM
w10042654_kw,bottle,bottle,1,1,2,JOL,cry,Study1,M,Study Phase,56,Recall1,3556,USM
w10090906KM,laugh,bottle,0.166666667,0,2,JOL,cry,Study1,M,Study Phase,90,Recall1,4074,USM
w10098759_caa,whine,bottle,0.166666667,0,2,JOL,cry,Study1,M,Study Phase,80,Recall1,2609,USM
w10128905_IAT,bottle,bottle,1,1,2,JOL,cry,Study1,M,Study Phase,65,Recall1,2408,USM
w10136452dns,,bottle,0,0,2,JOL,cry,Study1,M,Study Phase,40,Recall1,2103,USM
w10150573_kaj,bottle,bottle,1,1,2,JOL,cry,Study1,M,Study Phase,10,Recall1,3051,USM
W10156412_WAGR,,bottle,0,0,2,JOL,cry,Study1,M,Study Phase,0,Recall1,6159,USM
w10162630_CAG,,bottle,0,0,2,JOL,cry,Study1,M,Study Phase,80,Recall1,2547,USM
w821455_akg,bottle,bottle,1,1,2,JOL,cry,Study1,M,Study Phase,75,Recall1,32395,USM
w963035,baby,bottle,0.166666667,0,2,JOL,cry,Study1,M,Study Phase,0,Recall1,1772,USM
10066214OD,night,dark,0,0,2,JOL,day,Study1,M,Study Phase,50,Recall1,3283,USM
w100152402_MKT,night,dark,0,0,2,JOL,day,Study1,M,Study Phase,50,Recall1,1742,USM
w10042654_kw,night,dark,0,0,2,JOL,day,Study1,M,Study Phase,95,Recall1,4058,USM
w10090906KM,dark,dark,1,1,2,JOL,day,Study1,M,Study Phase,65,Recall1,2681,USM
w10098759_caa,weak,dark,0.5,0,2,JOL,day,Study1,M,Study Phase,45,Recall1,2880,USM
w10128905_IAT,dark,dark,1,1,2,JOL,day,Study1,M,Study Phase,15,Recall1,1742,USM
w10136452dns,dark,dark,1,1,2,JOL,day,Study1,M,Study Phase,75,Recall1,2752,USM
w10150573_kaj,weaks,dark,0.4,0,2,JOL,day,Study1,M,Study Phase,0,Recall1,3745,USM
W10156412_WAGR,dark,dark,1,1,2,JOL,day,Study1,M,Study Phase,50,Recall1,2481,USM
w10162630_CAG,,dark,0,0,2,JOL,day,Study1,M,Study Phase,100,Recall1,1627,USM
w821455_akg,dark,dark,1,1,2,JOL,day,Study1,M,Study Phase,85,Recall1,15275,USM
w963035,dark,dark,1,1,2,JOL,day,Study1,M,Study Phase,100,Recall1,2936,USM
10066214OD,tacos,bang,0.2,0,2,JOL,fuzzy,Study1,U,Study Phase,0,Recall1,2286,USM
w100152402_MKT,hard,bang,0.25,0,2,JOL,fuzzy,Study1,U,Study Phase,20,Recall1,2882,USM
w10042654_kw,sock,bang,0,0,2,JOL,fuzzy,Study1,U,Study Phase,10,Recall1,6326,USM
w10090906KM,furry,bang,0,0,2,JOL,fuzzy,Study1,U,Study Phase,28,Recall1,3618,USM
w10098759_caa,soft,bang,0,0,2,JOL,fuzzy,Study1,U,Study Phase,0,Recall1,7183,USM
w10128905_IAT,hard,bang,0.25,0,2,JOL,fuzzy,Study1,U,Study Phase,10,Recall1,4425,USM
w10136452dns,,bang,0,0,2,JOL,fuzzy,Study1,U,Study Phase,0,Recall1,1321,USM
w10150573_kaj,bangs,bang,0.8,1,2,JOL,fuzzy,Study1,U,Study Phase,0,Recall1,7121,USM
W10156412_WAGR,bangs,bang,0.8,1,2,JOL,fuzzy,Study1,U,Study Phase,5,Recall1,2347,USM
w10162630_CAG,,bang,0,0,2,JOL,fuzzy,Study1,U,Study Phase,10,Recall1,681,USM
w821455_akg,bang,bang,1,1,2,JOL,fuzzy,Study1,U,Study Phase,15,Recall1,36099,USM
w963035,blanket ,bang,0.375,0,2,JOL,fuzzy,Study1,U,Study Phase,0,Recall1,4282,USM
10066214OD,take,steak,0.8,1,2,JOL,give,Study1,U,Study Phase,5,Recall1,2306,USM
w100152402_MKT,thanks,steak,0.666666667,0,2,JOL,give,Study1,U,Study Phase,30,Recall1,2200,USM
w10042654_kw,take,steak,0.8,1,2,JOL,give,Study1,U,Study Phase,30,Recall1,7964,USM
w10090906KM,take,steak,0.8,1,2,JOL,give,Study1,U,Study Phase,5,Recall1,2913,USM
w10098759_caa,go,steak,0,0,2,JOL,give,Study1,U,Study Phase,45,Recall1,2971,USM
w10128905_IAT,thanks,steak,0.666666667,0,2,JOL,give,Study1,U,Study Phase,10,Recall1,6308,USM
w10136452dns,take,steak,0.8,1,2,JOL,give,Study1,U,Study Phase,0,Recall1,3616,USM
w10150573_kaj,take,steak,0.8,1,2,JOL,give,Study1,U,Study Phase,50,Recall1,3168,USM
W10156412_WAGR,,steak,0,0,2,JOL,give,Study1,U,Study Phase,4,Recall1,3800,USM
w10162630_CAG,take,steak,0.8,1,2,JOL,give,Study1,U,Study Phase,10,Recall1,1875,USM
w821455_akg,streak,steak,0.833333333,1,2,JOL,give,Study1,U,Study Phase,15,Recall1,35834,USM
w963035,thanks,steak,0.666666667,0,2,JOL,give,Study1,U,Study Phase,0,Recall1,2596,USM
10066214OD,rock,cotton,0.333333333,0,2,JOL,hard,Study1,M,Study Phase,3,Recall1,3798,USM
w100152402_MKT,soft,cotton,0.333333333,0,2,JOL,hard,Study1,M,Study Phase,30,Recall1,2135,USM
w10042654_kw,soft,cotton,0.333333333,0,2,JOL,hard,Study1,M,Study Phase,15,Recall1,7412,USM
w10090906KM,,cotton,0,0,2,JOL,hard,Study1,M,Study Phase,23,Recall1,10763,USM
