id,Response,key,percent_match,Scored,Condition.Number,Condition.Description,Stimuli.Cue,Stimuli.Shuffle,Stimuli.Stimuli.Notes,Procedure.Shuffle,Procedure.Shuffle.1,Response.RT,Platform
10143815SK,love,love,1,1,1,Read,affection,Study1,F,Study Phase,Recall1,3109,USM
BrookeMask,love,love,1,1,1,Read Recall,affection,Study1,F,Study Phase,Recall1,1555,USM
jasminesherman,,love,0,0,1,Read Recall,affection,Study1,F,Study Phase,Recall1,3449,USM
TaravionCosey,love,love,1,1,1,Read Recall,affection,Study1,F,Study Phase,Recall1,9307,USM
w10046339_pw,like,love,0.5,0,1,Read,affection,Study1,F,Study Phase,Recall1,3281,USM
W10057641NS,,love,0,0,1,Read,affection,Study1,F,Study Phase,Recall1,740,USM
w10062326CT,love,love,1,1,1,Read,affection,Study1,F,Study Phase,Recall1,1912,USM
w10080028_sac,love,love,1,1,1,Read,affection,Study1,F,Study Phase,Recall1,12361,USM
w10085225L.S,love,love,1,1,1,Read,affection,Study1,F,Study Phase,Recall1,3026,USM
w10101381_mgk,?,love,0,0,1,Read,affection,Study1,F,Study Phase,Recall1,13288,USM
w10118390Eh,love,love,1,1,1,Read,affection,Study1,F,Study Phase,Recall1,3568,USM
w10128215_bnc,,love,0,0,1,Read,affection,Study1,F,Study Phase,Recall1,4169,USM
w10133134_lpc,love,love,1,1,1,Read,affection,Study1,F,Study Phase,Recall1,2951,USM
w10143398_abc,love,love,1,1,1,Read,affection,Study1,F,Study Phase,Recall1,4386,USM
w10157282_HBR,love,love,1,1,1,Read,affection,Study1,F,Study Phase,Recall1,2939,USM
10143815SK,,bounce,0,0,1,Read,bat,Study1,M,Study Phase,Recall1,2145,USM
BrookeMask,baseball,bounce,0.25,0,1,Read Recall,bat,Study1,M,Study Phase,Recall1,4362,USM
jasminesherman,cave,bounce,0.333333333,0,1,Read Recall,bat,Study1,M,Study Phase,Recall1,4244,USM
TaravionCosey,bounce ,bounce,0.857142857,1,1,Read Recall,bat,Study1,M,Study Phase,Recall1,12573,USM
w10046339_pw,bounce,bounce,1,1,1,Read,bat,Study1,M,Study Phase,Recall1,2561,USM
W10057641NS,,bounce,0,0,1,Read,bat,Study1,M,Study Phase,Recall1,350,USM
w10062326CT,bounce,bounce,1,1,1,Read,bat,Study1,M,Study Phase,Recall1,3026,USM
w10080028_sac,,bounce,0,0,1,Read,bat,Study1,M,Study Phase,Recall1,21266,USM
w10085225L.S,call,bounce,0.166666667,0,1,Read,bat,Study1,M,Study Phase,Recall1,8069,USM
w10101381_mgk,bounce,bounce,1,1,1,Read,bat,Study1,M,Study Phase,Recall1,9126,USM
w10118390Eh,man,bounce,0.166666667,0,1,Read,bat,Study1,M,Study Phase,Recall1,1470,USM
w10128215_bnc,balloon,bounce,0.428571429,0,1,Read,bat,Study1,M,Study Phase,Recall1,8695,USM
w10133134_lpc,butter,bounce,0.5,0,1,Read,bat,Study1,M,Study Phase,Recall1,5861,USM
w10143398_abc,bottom,bounce,0.333333333,0,1,Read,bat,Study1,M,Study Phase,Recall1,10660,USM
w10157282_HBR,ball,bounce,0.166666667,0,1,Read,bat,Study1,M,Study Phase,Recall1,14944,USM
10143815SK,,box,0,0,1,Read,beach,Study1,M,Study Phase,Recall1,1553,USM
BrookeMask,sand,box,0,0,1,Read Recall,beach,Study1,M,Study Phase,Recall1,1888,USM
jasminesherman,,box,0,0,1,Read Recall,beach,Study1,M,Study Phase,Recall1,1802,USM
TaravionCosey,box,box,1,1,1,Read Recall,beach,Study1,M,Study Phase,Recall1,11681,USM
w10046339_pw,box,box,1,1,1,Read,beach,Study1,M,Study Phase,Recall1,8550,USM
W10057641NS,,box,0,0,1,Read,beach,Study1,M,Study Phase,Recall1,255,USM
w10062326CT,sand,box,0,0,1,Read,beach,Study1,M,Study Phase,Recall1,2463,USM
w10080028_sac,boc,box,0.666666667,0,1,Read,beach,Study1,M,Study Phase,Recall1,13597,USM
w10085225L.S,tan,box,0,0,1,Read,beach,Study1,M,Study Phase,Recall1,2596,USM
w10101381_mgk,?,box,0,0,1,Read,beach,Study1,M,Study Phase,Recall1,2642,USM
w10118390Eh,sand,box,0,0,1,Read,beach,Study1,M,Study Phase,Recall1,1892,USM
w10128215_bnc,lay,box,0,0,1,Read,beach,Study1,M,Study Phase,Recall1,2878,USM
w10133134_lpc,box,box,1,1,1,Read,beach,Study1,M,Study Phase,Recall1,3839,USM
w10143398_abc,idk,box,0,0,1,Read,beach,Study1,M,Study Phase,Recall1,2314,USM
w10157282_HBR,sand,box,0,0,1,Read,beach,Study1,M,Study Phase,Recall1,5816,USM
10143815SK,pie,pie,1,1,1,Read,birthday,Study1,M,Study Phase,Recall1,2460,USM
BrookeMask,pie,pie,1,1,1,Read Recall,birthday,Study1,M,Study Phase,Recall1,1763,USM
jasminesherman,,pie,0,0,1,Read Recall,birthday,Study1,M,Study Phase,Recall1,927,USM
TaravionCosey,cake ,pie,0.2,0,1,Read Recall,birthday,Study1,M,Study Phase,Recall1,19989,USM
w10046339_pw,cake,pie,0.25,0,1,Read,birthday,Study1,M,Study Phase,Recall1,1719,USM
W10057641NS,,pie,0,0,1,Read,birthday,Study1,M,Study Phase,Recall1,261,USM
w10062326CT,pie,pie,1,1,1,Read,birthday,Study1,M,Study Phase,Recall1,2301,USM
w10080028_sac,pie,pie,1,1,1,Read,birthday,Study1,M,Study Phase,Recall1,18436,USM
w10085225L.S,cake,pie,0.25,0,1,Read,birthday,Study1,M,Study Phase,Recall1,2305,USM
w10101381_mgk,pie,pie,1,1,1,Read,birthday,Study1,M,Study Phase,Recall1,2620,USM
w10118390Eh,party,pie,0.2,0,1,Read,birthday,Study1,M,Study Phase,Recall1,2299,USM
w10128215_bnc,pie,pie,1,1,1,Read,birthday,Study1,M,Study Phase,Recall1,1696,USM
w10133134_lpc,pie,pie,1,1,1,Read,birthday,Study1,M,Study Phase,Recall1,3149,USM
w10143398_abc,pie,pie,1,1,1,Read,birthday,Study1,M,Study Phase,Recall1,2441,USM
w10157282_HBR,pie,pie,1,1,1,Read,birthday,Study1,M,Study Phase,Recall1,2830,USM
10143815SK,birthday,hand,0.375,0,1,Read,cake,Study1,U,Study Phase,Recall1,10627,USM
BrookeMask,pie,hand,0,0,1,Read Recall,cake,Study1,U,Study Phase,Recall1,2228,USM
jasminesherman,,hand,0,0,1,Read Recall,cake,Study1,U,Study Phase,Recall1,1490,USM
TaravionCosey,hand,hand,1,1,1,Read Recall,cake,Study1,U,Study Phase,Recall1,9400,USM
w10046339_pw,hand,hand,1,1,1,Read,cake,Study1,U,Study Phase,Recall1,3402,USM
W10057641NS,jam,hand,0.25,0,1,Read,cake,Study1,U,Study Phase,Recall1,2852,USM
w10062326CT,fork,hand,0,0,1,Read,cake,Study1,U,Study Phase,Recall1,9888,USM
w10080028_sac,,hand,0,0,1,Read,cake,Study1,U,Study Phase,Recall1,25443,USM
w10085225L.S,bake,hand,0.25,0,1,Read,cake,Study1,U,Study Phase,Recall1,2513,USM
w10101381_mgk,hand,hand,1,1,1,Read,cake,Study1,U,Study Phase,Recall1,4334,USM
w10118390Eh,cup,hand,0,0,1,Read,cake,Study1,U,Study Phase,Recall1,4807,USM
w10128215_bnc,,hand,0,0,1,Read,cake,Study1,U,Study Phase,Recall1,5074,USM
w10133134_lpc,pie,hand,0,0,1,Read,cake,Study1,U,Study Phase,Recall1,9292,USM
w10143398_abc,idk,hand,0.25,0,1,Read,cake,Study1,U,Study Phase,Recall1,3198,USM
w10157282_HBR,plate,hand,0.2,0,1,Read,cake,Study1,U,Study Phase,Recall1,9320,USM
10143815SK,,carpet,0,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,2063,USM
BrookeMask,floor,carpet,0.166666667,0,1,Read Recall,ceiling,Study1,M,Study Phase,Recall1,3427,USM
jasminesherman,,carpet,0,0,1,Read Recall,ceiling,Study1,M,Study Phase,Recall1,787,USM
TaravionCosey,carpet ,carpet,0.857142857,1,1,Read Recall,ceiling,Study1,M,Study Phase,Recall1,10254,USM
w10046339_pw,carpet,carpet,1,1,1,Read,ceiling,Study1,M,Study Phase,Recall1,2914,USM
W10057641NS,,carpet,0,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,245,USM
w10062326CT,carpet,carpet,1,1,1,Read,ceiling,Study1,M,Study Phase,Recall1,4761,USM
w10080028_sac,floor,carpet,0.166666667,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,33832,USM
w10085225L.S,fan,carpet,0.166666667,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,5965,USM
w10101381_mgk,rug?,carpet,0.166666667,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,10988,USM
w10118390Eh,plaster,carpet,0.714285714,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,3330,USM
w10128215_bnc,fan,carpet,0.166666667,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,1918,USM
w10133134_lpc,sky,carpet,0,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,8396,USM
w10143398_abc,floor,carpet,0.166666667,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,3197,USM
w10157282_HBR,roof,carpet,0.166666667,0,1,Read,ceiling,Study1,M,Study Phase,Recall1,4907,USM
10143815SK,root,dance,0,0,1,Read,circle,Study1,M,Study Phase,Recall1,56796,USM
BrookeMask,dance,dance,1,1,1,Read Recall,circle,Study1,M,Study Phase,Recall1,1888,USM
jasminesherman,,dance,0,0,1,Read Recall,circle,Study1,M,Study Phase,Recall1,988,USM
TaravionCosey,dance ,dance,0.833333333,1,1,Read Recall,circle,Study1,M,Study Phase,Recall1,9722,USM
w10046339_pw,dance,dance,1,1,1,Read,circle,Study1,M,Study Phase,Recall1,3644,USM
W10057641NS,,dance,0,0,1,Read,circle,Study1,M,Study Phase,Recall1,553,USM
w10062326CT,dance,dance,1,1,1,Read,circle,Study1,M,Study Phase,Recall1,1806,USM
w10080028_sac,,dance,0,0,1,Read,circle,Study1,M,Study Phase,Recall1,14869,USM
w10085225L.S,square,dance,0.333333333,0,1,Read,circle,Study1,M,Study Phase,Recall1,7711,USM
w10101381_mgk,?,dance,0,0,1,Read,circle,Study1,M,Study Phase,Recall1,2211,USM
w10118390Eh,square,dance,0.333333333,0,1,Read,circle,Study1,M,Study Phase,Recall1,3030,USM
w10128215_bnc,shape,dance,0.4,0,1,Read,circle,Study1,M,Study Phase,Recall1,3558,USM
w10133134_lpc,frank,dance,0.4,0,1,Read,circle,Study1,M,Study Phase,Recall1,9367,USM
w10143398_abc,idk,dance,0.2,0,1,Read,circle,Study1,M,Study Phase,Recall1,2474,USM
w10157282_HBR,round,dance,0.4,0,1,Read,circle,Study1,M,Study Phase,Recall1,2510,USM
10143815SK,,election,0,0,1,Read,crackle,Study1,U,Study Phase,Recall1,1307,USM
BrookeMask,,election,0,0,1,Read Recall,crackle,Study1,U,Study Phase,Recall1,2611,USM
jasminesherman,,election,0,0,1,Read Recall,crackle,Study1,U,Study Phase,Recall1,815,USM
TaravionCosey,election,election,1,1,1,Read Recall,crackle,Study1,U,Study Phase,Recall1,22526,USM
w10046339_pw,election,election,1,1,1,Read,crackle,Study1,U,Study Phase,Recall1,10912,USM
W10057641NS,,election,0,0,1,Read,crackle,Study1,U,Study Phase,Recall1,115,USM
w10062326CT,election,election,1,1,1,Read,crackle,Study1,U,Study Phase,Recall1,2709,USM
w10080028_sac,,election,0,0,1,Read,crackle,Study1,U,Study Phase,Recall1,16531,USM
w10085225L.S,fire,election,0.25,0,1,Read,crackle,Study1,U,Study Phase,Recall1,3497,USM
w10101381_mgk,?,election,0,0,1,Read,crackle,Study1,U,Study Phase,Recall1,7234,USM
w10118390Eh,pop,election,0.125,0,1,Read,crackle,Study1,U,Study Phase,Recall1,1930,USM
w10128215_bnc,pop,election,0.125,0,1,Read,crackle,Study1,U,Study Phase,Recall1,2278,USM
w10133134_lpc,pop,election,0.125,0,1,Read,crackle,Study1,U,Study Phase,Recall1,3092,USM
w10143398_abc,idk,election,0.125,0,1,Read,crackle,Study1,U,Study Phase,Recall1,2351,USM
w10157282_HBR,pop,election,0.125,0,1,Read,crackle,Study1,U,Study Phase,Recall1,2910,USM
10143815SK,card,card,1,1,1,Read,credit,Study1,F,Study Phase,Recall1,2974,USM
BrookeMask,card,card,1,1,1,Read Recall,credit,Study1,F,Study Phase,Recall1,1413,USM
jasminesherman,,card,0,0,1,Read Recall,credit,Study1,F,Study Phase,Recall1,930,USM
TaravionCosey,card,card,1,1,1,Read Recall,credit,Study1,F,Study Phase,Recall1,22543,USM
w10046339_pw,card,card,1,1,1,Read,credit,Study1,F,Study Phase,Recall1,1889,USM
W10057641NS,,card,0,0,1,Read,credit,Study1,F,Study Phase,Recall1,248,USM
w10062326CT,card,card,1,1,1,Read,credit,Study1,F,Study Phase,Recall1,1698,USM
w10080028_sac,card,card,1,1,1,Read,credit,Study1,F,Study Phase,Recall1,2105,USM
w10085225L.S,card,card,1,1,1,Read,credit,Study1,F,Study Phase,Recall1,2909,USM
w10101381_mgk,card,card,1,1,1,Read,credit,Study1,F,Study Phase,Recall1,2164,USM
